Date,Disease,Age Group,Admissions
2020-01-01,Diabetes,66+,11
2020-01-01,Infections,66+,7
2020-01-01,Pneumonia,36-50,20
2020-01-01,Cardiac Issues,66+,4
2020-01-01,Cardiac Issues,nan,5
2020-01-01,Pneumonia,51-65,15
2020-01-01,Pneumonia,51-65,10
2020-01-01,Diabetes,19-35,6
2020-01-01,Infections,51-65,9
2020-01-01,Flu,36-50,19
2020-01-01,Diabetes,51-65,14
2020-01-02,Cardiac Issues,51-65,7
2020-01-02,Diabetes,0-18,3
2020-01-02,Infections,36-50,7
2020-01-02,Infections,0-18,7
2020-01-02,Pneumonia,51-65,23
2020-01-02,Pneumonia,19-35,18
2020-01-02,Pneumonia,66+,11
2020-01-02,Diabetes,51-65,12
2020-01-02,Diabetes,66+,8
2020-01-02,Cardiac Issues,nan,1
2020-01-02,Diabetes,19-35,8
2020-01-02,Diabetes,19-35,14
2020-01-02,Pneumonia,51-65,27
2020-01-02,Pneumonia,51-65,11
2020-01-02,Pneumonia,nan,13
2020-01-02,Diabetes,0-18,14
2020-01-02,Infections,66+,2
2020-01-02,Infections,19-35,9
2020-01-03,Diabetes,51-65,13
2020-01-03,Flu,66+,24
2020-01-03,Infections,0-18,9
2020-01-03,Flu,0-18,21
2020-01-03,Cardiac Issues,36-50,1
2020-01-03,Cardiac Issues,36-50,1
2020-01-03,Cardiac Issues,66+,10
2020-01-03,Pneumonia,0-18,16
2020-01-03,Flu,51-65,11
2020-01-03,Flu,nan,14
2020-01-03,Cardiac Issues,51-65,8
2020-01-03,Cardiac Issues,36-50,1
2020-01-03,Cardiac Issues,66+,14
2020-01-03,Cardiac Issues,0-18,5
2020-01-03,Pneumonia,nan,16
2020-01-03,Cardiac Issues,0-18,10
2020-01-04,Diabetes,66+,3
2020-01-04,Flu,51-65,13
2020-01-04,Infections,66+,11
2020-01-04,Infections,51-65,13
2020-01-04,Cardiac Issues,36-50,6
2020-01-04,Diabetes,19-35,10
2020-01-04,Infections,nan,9
2020-01-04,Infections,nan,12
2020-01-04,Diabetes,51-65,12
2020-01-04,Diabetes,nan,14
2020-01-04,Cardiac Issues,19-35,7
2020-01-04,Diabetes,0-18,7
2020-01-04,Flu,0-18,29
2020-01-04,Infections,0-18,3
2020-01-05,Cardiac Issues,0-18,14
2020-01-05,Infections,0-18,3
2020-01-05,Pneumonia,51-65,24
2020-01-05,Cardiac Issues,nan,8
2020-01-05,Flu,51-65,26
2020-01-05,Flu,19-35,29
2020-01-05,Diabetes,nan,7
2020-01-05,Pneumonia,36-50,26
2020-01-05,Infections,0-18,8
2020-01-05,Flu,36-50,26
2020-01-05,Pneumonia,19-35,14
2020-01-06,Flu,36-50,11
2020-01-06,Infections,51-65,10
2020-01-06,Diabetes,36-50,8
2020-01-06,Cardiac Issues,0-18,6
2020-01-06,Infections,51-65,2
2020-01-07,Cardiac Issues,0-18,9
2020-01-07,Diabetes,36-50,6
2020-01-07,Infections,36-50,4
2020-01-07,Diabetes,36-50,4
2020-01-07,Cardiac Issues,19-35,3
2020-01-07,Cardiac Issues,51-65,7
2020-01-07,Diabetes,0-18,1
2020-01-07,Pneumonia,0-18,20
2020-01-07,Diabetes,0-18,9
2020-01-07,Pneumonia,nan,19
2020-01-08,Diabetes,19-35,9
2020-01-08,Diabetes,51-65,1
2020-01-08,Pneumonia,0-18,25
2020-01-08,Diabetes,66+,5
2020-01-08,Cardiac Issues,0-18,9
2020-01-08,Cardiac Issues,36-50,3
2020-01-08,Diabetes,nan,8
2020-01-09,Diabetes,36-50,1
2020-01-09,Diabetes,nan,8
2020-01-09,Diabetes,nan,3
2020-01-09,Flu,36-50,27
2020-01-09,Pneumonia,19-35,12
2020-01-10,Flu,51-65,10
2020-01-10,Diabetes,0-18,14
2020-01-10,Infections,51-65,8
2020-01-10,Cardiac Issues,0-18,1
2020-01-10,Diabetes,36-50,3
2020-01-10,Infections,36-50,6
2020-01-10,Cardiac Issues,36-50,2
2020-01-10,Infections,nan,1
2020-01-10,Diabetes,0-18,5
2020-01-10,Diabetes,66+,3
2020-01-10,Diabetes,36-50,1
2020-01-10,Flu,51-65,23
2020-01-10,Infections,nan,3
2020-01-10,Diabetes,0-18,5
2020-01-10,Infections,0-18,14
2020-01-10,Infections,36-50,12
2020-01-10,Flu,51-65,10
2020-01-11,Pneumonia,0-18,19
2020-01-11,Pneumonia,36-50,17
2020-01-11,Pneumonia,nan,11
2020-01-11,Cardiac Issues,19-35,2
2020-01-11,Pneumonia,0-18,17
2020-01-11,Flu,0-18,20
